English Title;Synonims Titles;Type;PUBLISHED;FINISHED;Serialization;Score;Ranked;Popularity;Members;Favorites;Score Voted By;VOLUMENES;CHAPTERS;GENRE;AUTHOR;ADULT CONTENT,,,,,,,,
Unknown;Decapitation: Kubikiri Cycle, Strangulation: Kubishime Romanticist;Novel;3/21/1975;false;None;8.64;63;818;12912;621;2263;13;591;Documentary;Laney Schmidt;true,,,,,,,
Unknown;Choukakou, Chang Ge Xing;Manhua;10/19/1975;true;Comic Fans;8.64;64;531;18525;749;3536;20;918;Comedy|Thriller;Catharina Bohje;false,,,,,,,
Girls' Last Tour;The End Girl Trip;Manga;7/29/1979;true;Kurage Bunch;8.64;65;440;21102;1815;8248;12;864;Adventure|Children|Sci-Fi;Jeffy Arbon;false,,,,,,,,
Kino no Tabi: The Beautiful World;Kino's Journey: The Beautiful World;Novel;1/18/1994;true;None;8.63;66;958;11318;387;1763;7;412;Drama|Mystery;Dwight Benedetti;true,,,,,,,,
Skip Beat!;Unknown;Manga;04/04/1970;false;Hana to Yume;8.63;67;81;72958;9463;33948;2;117;Drama;Dimitry Tomasino;true,,,,,,,,
Rurouni Kenshin: Meiji Swordsman Romantic Story;Samurai X, Sengoku no Mikazuki, Crescent Moon in the Warring States, Crescent Moon Over a Country At War, Meteor Strike;Manga;06/11/1975;false;Shounen Jump (Weekly);8.62;68;91;69192;7000;36782;0;168;Drama;Chrysa Yurivtsev;true,,,,
Pluto: Urusawa x Tezuka;Unknown;Manga;5/16/1976;true;Big Comic Original;8.62;69;140;54031;3080;22071;24;876;Action|Sci-Fi|IMAX;Benton Arrow;true,,,,,,,,
JoJo's Bizarre Adventure Part 4: Diamond Is Unbreakable;Diamond Is Not Crash, Dai 4 Bu: Higashikata Jousuke;Manga;7/29/1978;false;Shounen Jump (Weekly);8.62;70;126;58572;5518;35341;13;485;Drama;Annissa Haquard;false,,,,,,,
Pandora Hearts;Unknown;Manga;9/22/1994;false;GFantasy;8.62;71;35;113839;14356;45264;29;390;Action|Comedy|Crime|Drama|Thriller;Candida Kleiser;false,,,,,,,,
Unknown;Stop This Sound!;Manga;1/27/1989;true;Jump SQ.;8.62;72;567;17470;965;4849;6;516;Comedy;Marlyn Speed;false,,,,,,,,
Blank Canvas: My So-Called Artist's Journey;Unknown;Manga;02/09/1961;true;Cocohana;8.61;73;641;15746;800;4603;19;941;Crime|Drama|Film-Noir;Rollin Gateshill;true,,,,,,,,
One Hundred Mob Psycho;Unknown;Manga;2/26/1989;true;MangaONE;8.61;74;124;58614;3756;22949;29;726;Drama;Garland Barkshire;false,,,,,,,,
Re:ZERO -Starting Life in Another World-;ReZero, Re: Life in a different world from zero;Novel;12/03/1988;true;None;8.61;75;249;34895;2777;8671;13;772;Documentary;Atalanta Doggrell;true,,,,,,,
Dorohedoro;Unknown;Manga;9/24/1962;false;Ikki;8.61;76;100;67067;5394;19603;17;614;Action|Drama|Thriller;Joya Colisbe;true,,,,,,,,
Unknown;Unknown;Novel;12/09/1970;false;None;8.61;77;506;19033;822;5732;6;469;Action|Crime|Drama;Danit Cammis;true,,,,,,,,
Unknown;Unknown;Manga;04/04/1971;false;Business Jump;8.6;78;514;18892;934;7360;26;3;Drama;Tybi Anthonsen;true,,,,,,,,
Attack on Titan;Unknown;Manga;5/23/1968;false;Bessatsu Shounen Magazine;8.6;79;1;312183;40550;158437;9;835;Drama|Romance;Paton Phuprate;false,,,,,,,,
No Game No Life;NGNL;Novel;07/11/1994;false;None;8.6;80;195;41238;2036;10579;27;982;Comedy|Drama|Romance;Glen Impett;false,,,,,,,,
Unknown;Unknown;Novel;3/24/1971;false;None;8.6;81;801;13170;431;2477;11;27;Comedy;Toni Dunwoody;false,,,,,,,,
Unknown;Sakamichi no Aporon, Kids on the Slope;Manga;05/07/1979;true;Flowers (Monthly);8.59;82;482;19732;792;7709;20;979;Action|Adventure|Comedy;Odilia Statter;true,,,,,,,
Unknown;Molester Man;Manga;9/16/1992;true;None;8.59;83;248;34896;2562;18074;7;905;Documentary;Orly Truin;false,,,,,,,,
Baccano!;Unknown;Novel;8/27/1977;false;None;8.59;84;811;12961;442;1862;4;627;Comedy|Romance;Jarib Shwalbe;true,,,,,,,,
Unknown;Suzumiya Haruhi no Yuuutsu, The Melancholy of Haruhi Suzumiya;Novel;10/31/1961;false;The Sneaker;8.59;85;329;27931;1621;9159;16;121;Comedy|Musical;Kristine Charsley;false,,,,,,,
Mobile Suit Gundam: The Origin;Amuro 0082;Manga;09/07/1998;true;Gundam Ace;8.57;86;1387;8143;535;2031;16;602;Adventure|Comedy|Drama|Romance;Grantley Battey;true,,,,,,,,
Unknown;Unknown;Manga;05/04/1965;false;HiBaNa;8.57;87;389;23741;1669;8496;14;500;Comedy|Drama;Berget Bridger;false,,,,,,,,
Banana Fish;Unknown;Manga;9/25/1968;true;Betsucomi;8.56;88;538;18225;1135;4855;29;27;Drama|Romance;Cristina Greenhouse;true,,,,,,,,
A Bride's Story;Young Bride's Story, Otoyome-gatari, The Bride's Stories, Pariya-san wa Otoshigoro;Manga;10/22/1991;true;Harta;8.56;89;189;41739;1916;11010;29;801;Children|Drama;Crawford Wogdon;false,,,,,
Monthly Girls' Nozaki-kun;Unknown;Manga;07/08/1984;true;Gangan Online;8.56;90;137;54227;3288;16559;13;169;Documentary|Drama;Benny Hinners;true,,,,,,,,
Spirit Circle;Unknown;Manga;12/21/1978;true;Young King OURs;8.56;91;364;26013;1562;11254;25;187;Comedy|Sci-Fi;Alaric Wesker;true,,,,,,,,
Unknown;Mushoku Tensei: Jobless Reincarnation;Novel;3/23/1979;true;None;8.56;92;379;24838;1546;8133;26;581;Adventure|Comedy|Documentary;Eugenie Vanshin;false,,,,,,,,
Ouran High School Host Club;OHSHC, Romantic Egoist;Manga;06/12/1985;true;LaLa;8.55;93;53;94503;7873;47720;18;675;Comedy;Ardyce Butcher;true,,,,,,,
Wake Up, Sleeping Beauty;Good Morning, Little Briar-Rose;Manga;9/29/1966;true;Dessert;8.55;94;1051;10439;426;3421;25;577;Comedy|Crime|Drama;Antoine Engley;false,,,,,,
Tokyo Ghoul;Toukyou Kushu;Manga;9/20/1969;true;Young Jump;8.55;95;5;278737;29893;153706;12;832;Action|Horror|Sci-Fi;Alfonse Tilliard;true,,,,,,,,
Neon Genesis Evangelion;Shinseiki Evangelion;Manga;4/25/1992;false;Shounen Ace;8.54;96;108;63294;5515;29627;10;593;Comedy|Drama|Romance;Calhoun Eassom;true,,,,,,,,
Legend of the Galactic Heroes;LoGH, LotGH, GinEiDen;Novel;3/29/1976;false;None;8.54;97;2358;4961;261;1209;6;818;Action|Drama|War;Levy Rout;true,,,,,,
Unknown;Unknown;Manhwa;08/08/1977;true;Young Champ;8.54;98;41;102274;5986;53636;23;218;Comedy|Drama;Carissa Hartshorn;false,,,,,,,,
Gin Tama;Dandelion, Shiro Kuro, Black and White, Shirokuro,13, Thirteen, Bankara-san ga Tooru, Here Comes Mr. Uncivilised, Silver Soul;Manga;9/24/1986;false;Shounen Jump (Weekly);8.53;99;103;65065;7246;28922;17;352;Drama|War;Monty Matthensen;false
